PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
318229,318229,0,223,202,24617863.5,15498.0,13169,95830527,38679149.2,10288.3,8790.0,7651,49522,5117.9,27160747.9,943.5,142,95818172,39782185.6,4804.4,4799.0,4480,5344,179.6,cuLaunchKernel,triton_poi_fused_add_0
318229,318229,0,111,103,24584883.9,64691.0,63157,95624941,38550635.5,8375.4,7156.0,6500,33984,4528.4,26425426.1,1350.0,146,95561252,39394182.5,56013.8,56000.0,55231,56928,378.2,cuLaunchKernelEx,nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_TNT
318229,318229,0,111,105,24565237.7,10036.0,9347,94931487,38598073.2,5178.7,4654.0,4195,19375,2010.2,25959845.1,1977.0,100,94923270,39229964.8,3471.6,3456.0,3328,3841,101.8,cudaLaunchKernel,"void at::native::triu_tril_kernel<float, int, (bool)1, (int)2, (bool)0>(at::cuda::detail::TensorInfo<T1, T2>, at::cuda::detail::TensorInfo<const T1, T2>, long, long, T2)"
318229,318229,0,111,106,24561571.8,9846.0,9078,94920064,38592769.3,5241.2,4694.0,4370,21208,2234.3,25711251.5,1802.0,96,94912430,39118911.1,3282.5,3264.0,3232,3424,33.0,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
318229,318229,0,111,107,24558861.4,40807.0,39608,94844230,38533901.0,5768.7,5166.0,4852,21718,2247.0,25436340.5,1897.0,159,94805869,38953530.9,33413.2,33311.0,33024,34368,299.4,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
318229,318229,0,111,107,24546158.9,37092.0,35623,94829903,38518257.3,6142.4,5440.0,5030,23549,2408.6,25427036.5,2070.0,346,94795125,38937651.7,29293.5,29184.0,28448,30816,472.5,cudaLaunchKernel,"void <unnamed>::softmax_warp_forward<float, float, float, (int)10, (bool)0, (bool)0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
318229,318229,0,111,104,24518707.4,14069.0,13228,95523555,38529021.6,6672.2,5740.0,5191,30459,3771.4,26155204.2,1796.5,888,95511167,39266309.5,6432.8,6431.0,6112,6848,186.5,cuLaunchKernel,triton_poi_fused_mul_silu_split_0
318229,318229,0,111,105,24491253.8,17108.0,16021,94682581,38464598.3,7674.9,6428.0,5822,49573,5080.3,25873549.9,1534.0,10,94667643,39094505.6,8801.9,8767.0,8544,9440,176.9,cuLaunchKernelEx,nvjet_sm90_tst_128x96_64x7_1x2_h_bz_NNT
318229,318229,0,226,182,24422664.3,49379.0,45279,96030298,38583315.3,13743.7,11821.0,10260,61058,6321.8,29673668.3,798.0,11,95030607,40237845.9,512857.3,35904.5,33760,8386432,884694.3,cuLaunchKernelEx,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
318229,318229,0,223,202,24374725.4,34939.0,21010,95450611,38308823.1,7474.9,6445.0,5612,40343,3946.2,26877644.4,1311.5,173,95415380,39401989.9,20897.6,14816.0,13664,29473,6931.8,cuLaunchKernelEx,nvjet_sm90_tst_128x128_64x6_4x2_h_bz_TNT
