Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
69.8,12984111926,2,6492055963.0,6492055963.0,6487654771,6496457155,6224225.4,PushPop,:actor_actor_train_rollout_1
22.5,4192986063,4,1048246515.8,970553223.5,747424,2251132192,1216144091.9,PushPop,cuBLAS:cublasCreate_v2
7.6,1420252271,945,1502912.5,44138.0,36470,1376126087,44763866.7,PushPop,NCCL:ncclAllReduce
0.0,461346,10,46134.6,35252.0,2380,94067,38814.5,PushPop,:nvte_rmsnorm_bwd
0.0,402437,9,44715.2,38688.0,36690,69167,10827.1,PushPop,NCCL:ncclAllGather
0.0,199873,10,19987.3,20988.0,3243,43294,13763.8,PushPop,:nvte_rmsnorm_fwd
