Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
76.7,7428882524266,31314,237238376.6,50063046.0,817,5293316732,401688054.6,futex
15.5,1497723105557,46393,32283385.5,10009949.0,232,5007695622,114448230.7,epoll_wait
5.0,488735484448,4834,101103741.1,100066621.5,78933,1000074439,31818139.6,nanosleep
1.0,93188847873,2395,38909748.6,24068.0,2439,1000070194,91620507.1,pthread_cond_timedwait
0.8,76035771046,75,1013810280.6,791267751.0,57172,4011660709,734560940.1,pthread_cond_wait
0.6,61195844173,226,270778071.6,100522118.0,4105,1005033542,256665850.0,poll
0.2,17137338001,267,64184786.5,3585.0,901,1000168767,138555102.0,epoll_pwait
0.2,16902084179,30,563402806.0,100067270.0,100061178,5000064652,940831716.2,clock_nanosleep
0.1,8501057648,8,1062632206.0,244112769.0,127477,4008195175,1477506475.0,sem_wait
0.0,78746902,1226,64230.8,1975.0,284,4806431,390886.9,read
0.0,47595074,6318,7533.3,7220.0,2969,46559,1142.2,stat64
0.0,41286201,134,308106.0,11205.5,684,7198188,940956.9,ioctl
0.0,30185939,493,61229.1,64958.0,19230,203561,26061.8,sendmsg
0.0,20381397,207494,98.2,66.0,15,68172,393.9,pthread_cond_signal
0.0,9858345,490,20119.1,19070.0,2440,239295,14773.1,recvmsg
0.0,6582621,708,9297.5,4707.5,664,709100,39042.9,recv
0.0,5565389,425,13095.0,6950.0,4160,92214,15014.5,send
0.0,5489912,628,8741.9,9354.0,2083,258509,13399.4,open64
0.0,5266430,309,17043.5,1726.0,214,2182364,135140.5,pthread_mutex_lock
0.0,4261033,1280,3328.9,4546.0,694,15720,2131.9,fstat64
0.0,2675863,326,8208.2,7737.5,2685,61617,4818.3,kill
0.0,1731473,104,16648.8,11626.5,8915,102572,12601.9,fopen64
0.0,1640804,327,5017.7,4815.0,1435,13400,1650.7,epoll_ctl
0.0,1328370,90,14759.7,5537.5,2650,72853,17826.0,write
0.0,956040,5,191208.0,202420.0,99182,257839,61173.3,pthread_join
0.0,949614,5,189922.8,175236.0,169312,236599,28438.1,pthread_create
0.0,895978,6593,135.9,116.0,18,14055,342.0,pthread_cond_broadcast
0.0,828559,158,5244.0,4425.5,1686,58475,5783.3,fclose
0.0,469014,147,3190.6,2661.0,1760,8014,1449.3,waitpid
0.0,441564,282,1565.8,112.0,108,98858,10845.0,fgets
0.0,421949,15,28129.9,26603.0,11471,56097,12497.7,munmap
0.0,372361,42,8865.7,7865.0,6354,23009,3523.3,fopen
0.0,228963,27,8480.1,8300.0,6985,11114,1114.9,lstat64
0.0,211753,15,14116.9,13289.0,2622,22363,5778.9,mmap64
0.0,152061,44,3455.9,195.0,125,44594,8433.5,fflush
0.0,122404,11,11127.6,370.0,181,78003,24987.7,fwrite
0.0,76366,4,19091.5,18193.0,9315,30665,11321.2,connect
0.0,67081,4,16770.3,16450.5,9630,24550,8089.7,socket
0.0,42415,6,7069.2,7110.0,3656,10835,3428.7,prctl
0.0,32020,3,10673.3,10110.0,6400,15510,4581.1,open
0.0,23109,1,23109.0,23109.0,23109,23109,0.0,socketpair
0.0,21896,15,1459.7,1304.0,970,3048,545.3,fcntl
