Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.7,5997203310,6384,939411.5,117334.5,26018,62481102,3984365.7,cuLibraryLoadData
1.1,71255506,1,71255506.0,71255506.0,71255506,71255506,0.0,cudaProfilerStop
0.6,40402691,6920,5838.5,5087.5,3302,60282,2727.9,cudaLaunchKernel
0.6,37014808,312,118637.2,108341.5,63823,1403751,77448.6,cuMemSetAccess
0.3,20415256,608,33577.7,31108.0,8165,3784126,152965.3,cudaMemGetInfo
0.2,14129236,151,93571.1,5325.0,1775,7274441,631723.3,cudaStreamSynchronize
0.2,13452869,456,29501.9,3759.0,2403,10687090,500249.4,cudaMemcpyAsync
0.2,12073623,312,38697.5,34409.0,24283,384704,21698.0,cuMemMap
0.2,11205010,1153,9718.1,8103.0,5219,26626,3487.1,cuLaunchKernelEx
0.2,10733921,311,34514.2,34139.0,7039,233543,19678.1,cuMemAddressReserve
0.1,8759453,48,182488.6,198508.0,141586,322182,36565.3,cudaIpcOpenMemHandle
0.1,8435531,311,27123.9,18890.0,15240,633349,38715.9,cuMemCreate
0.1,4152361,434,9567.7,9381.0,5687,58215,4418.0,cuLaunchKernel
0.0,1895457,293,6469.1,3851.0,2987,499170,29238.5,cudaMalloc
0.0,1871193,907,2063.1,1331.0,542,20103,1809.0,cudaEventRecord
0.0,1541831,6923,222.7,102.0,64,13108,752.8,cuKernelGetName
0.0,1328225,704,1886.7,1313.0,258,14807,1650.3,cudaStreamWaitEvent
0.0,1299963,9,144440.3,26419.0,4458,1080673,351754.6,cudaHostAlloc
0.0,1052951,4,263237.8,268785.0,185840,329541,60014.6,cuModuleLoad
0.0,1019257,1960,520.0,360.0,202,13705,817.4,cudaStreamIsCapturing
0.0,937892,301,3115.9,2177.0,1934,35027,3620.2,cudaMemsetAsync
0.0,679910,299,2273.9,2121.0,1154,13906,1190.5,cudaGetFuncBySymbol
0.0,606512,70,8664.5,7241.5,335,32659,6042.0,cuLibraryGetKernel
0.0,604928,374,1617.5,1567.0,339,13741,1253.3,cudaEventCreateWithFlags
0.0,464090,1760,263.7,147.0,68,9933,559.3,cuGetProcAddress_v2
0.0,413457,299,1382.8,1214.0,826,15702,1303.4,cudaStreamGetCaptureInfo_v3
0.0,412486,1723,239.4,139.0,79,12549,793.7,cuKernelGetAttribute
0.0,409180,309,1324.2,1246.0,813,5984,599.2,cudaEventRecordWithFlags
0.0,406183,5,81236.6,17705.0,5408,352855,151986.2,cudaStreamCreateWithFlags
0.0,403878,156,2589.0,2359.5,262,25647,3178.2,cudaEventQuery
0.0,346732,303,1144.3,1081.0,840,9906,663.1,cudaEventDestroy
0.0,307433,2,153716.5,153716.5,74552,232881,111955.5,cudaMemPoolCreate
0.0,296543,1107,267.9,183.0,167,5557,484.9,cudaThreadExchangeStreamCaptureMode
0.0,75970,4,18992.5,17440.5,1539,39550,20123.1,cudaFree
0.0,26423,1,26423.0,26423.0,26423,26423,0.0,cudaDeviceSynchronize
0.0,22363,2,11181.5,11181.5,8849,13514,3298.7,cuProfilerStart
0.0,12800,4,3200.0,3236.0,1984,4344,1186.2,cuInit
0.0,9757,1,9757.0,9757.0,9757,9757,0.0,cudaStreamDestroy
0.0,6327,6,1054.5,161.5,118,3034,1414.2,cuModuleGetLoadingMode
0.0,4045,6,674.2,580.5,124,1369,603.6,cuTensorMapEncodeTiled
0.0,3666,2,1833.0,1833.0,1795,1871,53.7,cudaMemPoolSetAttribute
0.0,3145,10,314.5,323.5,157,483,119.8,cudaGetDeviceProperties_v2
0.0,1720,2,860.0,860.0,634,1086,319.6,cuKernelSetAttribute
